session,shot_class,gyro_y_min,grav_y_min,grav_y_max,grav_x_min,grav_x_max
live_session_1,PULL/HOOK,-1.193631,-9.301702,9.80302,-4.083134,4.856281
live_session_1,PULL/HOOK,-2.423913,-7.529357,-2.512441,-8.999321,1.611914
live_session_1,PULL/HOOK,-5.61263,-8.501375,1.466735,-9.794512,1.364604
live_session_1,PULL/HOOK,-1.673771,-9.156947,9.246373,-5.894932,1.35868
live_session_1,PULL/HOOK,-1.209513,-9.215128,7.297496,-8.163169,1.20706
live_session_1,PULL/HOOK,-1.406212,-9.109728,7.676615,-7.194489,1.687043
live_session_1,PULL/HOOK,-1.787392,-6.011975,1.184409,-9.738008,-5.595
live_session_1,PULL/HOOK,-0.142942,-6.365655,0.669816,-9.438842,-7.444693
live_session_1,PULL/HOOK,-9.421986,-9.470482,-1.357177,-3.950236,4.101138
session_20260531,GLANCE/FLICK,-1.374447,-7.389602,-1.122845,-8.296702,-5.58886
session_20260531,GLANCE/FLICK,-0.904081,-8.822376,9.779393,-8.227745,-0.715662
session_20260531,PULL/HOOK,-2.634051,-9.013349,0.832262,-7.403558,-1.693712
session_20260531,GLANCE/FLICK,-3.106861,-8.807792,8.166478,-8.210312,2.038359
session_20260531,PULL/HOOK,-1.077566,-8.763431,9.388604,-7.615075,-2.343441
session_20260531,PULL/HOOK,-12.555724,-8.615899,4.073709,-4.164932,6.812317
session_20260531,GLANCE/FLICK,-11.597888,-9.125719,2.32927,-3.865746,6.036876
session_20260531,PULL/HOOK,-0.824668,-9.244008,7.939836,-7.738433,-0.747619
session_20260531,GLANCE/FLICK,-10.622947,-9.113193,3.702306,-4.457488,5.354305
session_20260531,PULL/HOOK,-7.910705,-8.719536,3.11228,-7.031322,3.246809
session_20260531,GLANCE/FLICK,-0.263894,-6.193464,-0.550741,-9.641748,-7.33628
session_20260531,PULL/HOOK,-0.563218,-6.617912,1.982675,-9.698938,-7.220204
session_20260531,PULL/HOOK,-7.911927,-9.638609,4.049943,-4.344351,2.74562
session_20260531,PULL/HOOK,-15.706567,-9.167233,3.194556,-3.703108,8.064489
session_20260531,PULL/HOOK,-12.8917,-9.317242,2.249918,-4.553845,6.750585
session_20260531,PULL/HOOK,-13.479353,-8.939736,5.259095,-3.681603,7.709895
session_20260531,PULL/HOOK,-9.183748,-8.619515,6.541245,-3.962409,6.181947
session_20260531,PULL/HOOK,-13.002877,-8.646778,2.885561,-6.887627,9.805687
session_20260531,PULL/HOOK,-11.114082,-8.846724,3.461396,-6.673633,9.618551
session_20260531,PULL/HOOK,-9.077457,-9.010149,5.116902,-4.376536,7.321455
session_20260531,PULL/HOOK,-1.411099,-6.503088,-0.599349,3.329695,8.344179
session_20260601,GLANCE/FLICK,-0.746477,-7.69722,0.094098,-9.715307,-6.047554
session_20260601,GLANCE/FLICK,-1.799609,-5.959854,5.8749,-9.768476,-5.685496
session_20260601,GLANCE/FLICK,-0.406836,-9.145628,-6.741458,-6.707387,-3.111928
session_20260601,GLANCE/FLICK,-8.527678,-9.372218,3.626052,-9.038725,3.576456
session_20260601,GLANCE/FLICK,-7.343822,-9.44113,2.913284,-9.628061,0.397203
session_20260601,GLANCE/FLICK,-8.587543,-9.29746,2.291226,-8.353951,1.613401
session_20260601,GLANCE/FLICK,-1.145983,-7.395588,3.785534,-9.53196,0.212448
session_20260601,GLANCE/FLICK,-3.159395,-6.720308,-1.8596,-9.565917,-0.363177
session_20260601,GLANCE/FLICK,-4.097684,-9.163023,-2.543356,-8.94949,1.887394
session_20260601,GLANCE/FLICK,-8.780577,-9.331271,3.748019,-9.388155,1.525247
session_20260601,GLANCE/FLICK,-8.318763,-9.334736,4.245218,-8.908976,1.052623
session_20260601,GLANCE/FLICK,-6.842913,-9.276953,7.487319,-8.763924,4.868836
session_20260601,GLANCE/FLICK,-0.054978,-9.218527,-9.129172,-2.590267,-2.104347
session_20260601,GLANCE/FLICK,-8.122065,-9.199818,5.687334,-8.880049,6.091713
session_20260601,GLANCE/FLICK,-2.41414,-5.482833,2.670904,-9.088177,0.401424
session_20260601,GLANCE/FLICK,-6.447072,-9.37746,4.964313,-9.197658,-0.466318
session_20260601,GLANCE/FLICK,-7.171558,-9.250879,4.561968,-8.430117,3.607119
session_20260601,GLANCE/FLICK,-8.427497,-9.158609,4.366154,-9.134295,3.085595
session_20260601,GLANCE/FLICK,-9.816605,-9.150784,2.218299,-8.222768,3.664442
session_20260601,GLANCE/FLICK,-9.281487,-9.241118,1.924028,-9.613628,-1.05214
session_20260601,GLANCE/FLICK,-6.924768,-9.18856,3.818902,-8.854715,3.600327
session_20260601,GLANCE/FLICK,-5.130046,-9.248454,6.084508,-9.150672,2.387517
session_20260601,GLANCE/FLICK,-6.461732,-9.245662,3.053421,-8.433056,2.925457
session_20260601,GLANCE/FLICK,-11.230146,-9.242218,1.804851,-8.054136,5.654647
session_20260601,GLANCE/FLICK,-8.787908,-9.2385,1.536082,-8.373593,5.08144
